x,y,z,name,state
65.94,0.68,107.32,b_070.JPG,0
68.03,4.98,118.65,b_071.JPG,0
66.24,4.78,118.8,b_072.JPG,0
70.22,13.18,108.94,c_001.JPG,1
68.01,13.18,108.61,c_002.JPG,1
65.95,13.18,108.44,c_003.JPG,1
63.33,13.18,108.73,c_004.JPG,1
61.12,13.18,108.41,c_005.JPG,1
59.05,13.18,108.24,c_006.JPG,0
56.16,13.18,108.21,c_007.JPG,0
27.52,11.78,52.76,c_008.JPG,1
26.84,5.08,53.08,c_009.JPG,0
56.16,11.48,107.1,c_010.JPG,0
58.77,11.58,107.92,c_011.JPG,0
61.12,11.68,108.41,c_012.JPG,0
63.74,11.68,108.1,c_013.JPG,0
65.95,11.58,108.44,c_014.JPG,0
67.87,11.48,108.45,c_015.JPG,0
71.04,11.38,107.68,c_016.JPG,0
70.63,9.68,108.31,c_017.JPG,0
67.87,9.78,108.45,c_018.JPG,0
65.67,9.88,108.12,c_019.JPG,0
63.46,9.88,107.78,c_020.JPG,0
60.97,9.78,107.13,c_021.JPG,0
58.64,9.88,107.76,c_022.JPG,0
56.43,9.68,107.42,c_023.JPG,0
52.02,8.88,104.53,c_024.JPG,0
56.58,9.68,114.27,c_025.JPG,0
57.96,9.38,112.53,c_026.JPG,0
59.2,8.98,110.63,c_027.JPG,0
61.39,9.08,110.96,c_028.JPG,0
63.32,8.18,107.62,c_029.JPG,0
65.53,8.08,107.96,c_030.JPG,0
67.87,8.08,108.45,c_031.JPG,0
70.35,8.08,109.1,c_032.JPG,0
70.49,5.88,108.15,c_033.JPG,0
68.14,6.08,107.66,c_034.JPG,0
65.39,6.38,107.79,c_035.JPG,0
63.19,6.38,107.46,c_036.JPG,0
60.98,7.78,111.59,c_037.JPG,0
59.62,8.78,114.45,c_038.JPG,0
58.79,9.18,115.72,c_039.JPG,0
56.31,8.58,115.06,c_040.JPG,0
56.87,8.18,116.82,c_041.JPG,0
58.1,7.98,116.03,c_042.JPG,0
60.31,8.58,116.37,c_043.JPG,0
60.72,7.18,113.5,c_044.JPG,0
62.91,6.88,112.72,c_045.JPG,0
65.39,4.48,107.79,c_046.JPG,0
67.87,4.48,108.45,c_047.JPG,0
69.8,4.48,109.58,c_048.JPG,0
70.49,1.58,108.15,c_049.JPG,0
65.27,7.78,117.67,c_050.JPG,0
64.03,7.18,116.23,c_051.JPG,0
62.65,7.68,116.86,c_052.JPG,0
61.41,7.48,116.53,c_053.JPG,0
60.03,7.78,117.16,c_054.JPG,0
57.83,7.08,116.83,c_055.JPG,0
56.45,7.08,117.46,c_056.JPG,0
97.58,24.08,85.07,d_002.JPG,0
94.42,23.88,84.72,d_003.JPG,0
91.52,23.78,84.7,d_004.JPG,1
89.04,23.68,84.06,d_005.JPG,1
86.01,23.68,83.88,d_006.JPG,0
83.11,23.78,83.86,d_007.JPG,0
79.94,23.98,83.52,d_008.JPG,0
76.23,24.28,83.66,d_009.JPG,0
73.05,22.28,83.32,d_011.JPG,1
76.92,21.98,83.34,d_012.JPG,1
80.08,21.78,83.68,d_013.JPG,1
83.11,21.68,83.86,d_014.JPG,1
86.14,21.58,84.04,d_015.JPG,1
89.04,21.68,84.06,d_016.JPG,1
92.07,21.68,84.23,d_017.JPG,1
94.55,21.78,84.88,d_018.JPG,1
97.58,21.88,85.07,d_019.JPG,1
101.31,22.18,84.93,d_020.JPG,1
101.31,19.88,84.93,d_021.JPG,1
97.58,19.68,85.07,d_022.JPG,1
95.1,19.68,84.41,d_023.JPG,1
92.07,19.68,84.23,d_024.JPG,0
89.18,19.58,84.22,d_025.JPG,1
86.28,19.58,84.2,d_026.JPG,1
83.25,19.68,84.02,d_027.JPG,1
80.21,19.68,83.84,d_028.JPG,1
77.06,19.78,83.5,d_029.JPG,1
73.75,19.98,83,d_030.JPG,1
73.88,17.68,83.16,d_031.JPG,1
77.06,17.68,83.5,d_032.JPG,1
80.21,17.68,83.84,d_033.JPG,0
83.25,17.68,84.02,d_034.JPG,1
86.28,17.58,84.2,d_035.JPG,1
89.18,17.58,84.22,d_036.JPG,1
92.2,17.68,84.39,d_037.JPG,1
94.55,17.68,84.88,d_038.JPG,1
97.58,17.68,85.07,d_039.JPG,0
101.31,17.78,84.93,d_040.JPG,1
100.75,15.58,85.41,d_041.JPG,1
97.58,15.58,85.07,d_042.JPG,1
94.55,15.68,84.88,d_043.JPG,0
92.2,15.68,84.39,d_044.JPG,1
89.18,15.68,84.22,d_045.JPG,0
86.28,15.68,84.2,d_046.JPG,1
83.38,15.68,84.18,d_047.JPG,1
80.21,15.68,83.84,d_048.JPG,1
77.19,15.58,83.66,d_049.JPG,1
73.88,15.48,83.16,d_050.JPG,1
73.19,13.28,83.48,d_051.JPG,0
77.06,13.48,83.5,d_052.JPG,0
80.21,13.58,83.84,d_053.JPG,1
83.25,13.68,84.02,d_054.JPG,1
86.28,13.68,84.2,d_055.JPG,1
89.18,13.78,84.22,d_056.JPG,1
92.2,13.68,84.39,d_057.JPG,1
94.55,13.68,84.88,d_058.JPG,0
97.58,13.48,85.07,d_059.JPG,0
100.75,13.38,85.41,d_060.JPG,0
98.56,12.08,89.53,d_061.JPG,0
95.93,12.28,88.71,d_062.JPG,0
93.73,12.38,88.39,d_063.JPG,0
90.97,12.48,88.53,d_064.JPG,0
88.77,12.58,88.2,d_065.JPG,0
86.56,12.58,87.86,d_066.JPG,0
83.67,12.48,87.84,d_067.JPG,0
81.2,12.28,87.19,d_068.JPG,0
79.68,12.78,89.89,d_069.JPG,0
72.92,10.88,83.16,d_070.JPG,1
81.18,22.88,84.96,e_001.JPG,0
78.16,22.88,84.78,e_002.JPG,0
75.13,22.98,84.61,e_003.JPG,0
72.23,22.88,84.58,e_004.JPG,1
69.88,22.88,84.09,e_005.JPG,1
67.13,22.88,84.24,e_006.JPG,1
64.24,22.98,84.22,e_007.JPG,1
61.21,22.98,84.03,e_008.JPG,1
58.18,22.98,83.85,e_009.JPG,1
54.87,22.98,83.36,e_010.JPG,0
54.87,20.88,83.36,e_011.JPG,1
58.18,20.88,83.85,e_012.JPG,1
61.21,20.98,84.03,e_013.JPG,1
64.24,21.08,84.22,e_014.JPG,1
67.13,20.98,84.24,e_015.JPG,1
70.02,21.08,84.25,e_016.JPG,1
72.37,20.98,84.74,e_017.JPG,1
75.27,20.98,84.76,e_018.JPG,1
78.16,20.88,84.78,e_019.JPG,1
81.18,20.88,84.96,e_020.JPG,1
81.32,18.68,85.12,e_021.JPG,1
78.16,18.88,84.78,e_022.JPG,1
75.27,18.98,84.76,e_023.JPG,1
72.23,19.08,84.58,e_024.JPG,0
70.02,19.18,84.25,e_025.JPG,1
67.13,19.18,84.24,e_026.JPG,1
64.24,19.08,84.22,e_027.JPG,1
61.21,18.98,84.03,e_028.JPG,1
58.18,18.88,83.85,e_029.JPG,1
55.01,18.68,83.52,e_030.JPG,1
54.32,16.48,83.84,e_031.JPG,1
58.04,16.78,83.69,e_032.JPG,1
61.21,16.98,84.03,e_033.JPG,1
64.1,17.08,84.06,e_034.JPG,1
67,17.18,84.08,e_035.JPG,1
69.34,17.18,84.56,e_036.JPG,1
72.23,17.18,84.58,e_037.JPG,1
75.13,16.98,84.61,e_038.JPG,1
78.16,16.78,84.78,e_039.JPG,1
81.18,16.48,84.96,e_040.JPG,1
81.18,14.18,84.96,e_041.JPG,1
78.16,14.68,84.78,e_042.JPG,1
75.13,14.88,84.61,e_043.JPG,0
72.23,15.08,84.58,e_044.JPG,1
69.34,15.18,84.56,e_045.JPG,1
66.45,15.18,84.55,e_046.JPG,1
63.55,15.08,84.53,e_047.JPG,1
60.52,14.88,84.35,e_048.JPG,0
57.48,14.58,84.17,e_049.JPG,1
53.63,14.08,84.15,e_050.JPG,0
56.12,13.88,89.25,e_051.JPG,0
57.63,13.18,86.56,e_052.JPG,0
60.52,13.18,85.46,e_053.JPG,0
63.28,12.98,84.21,e_054.JPG,1
66.3,13.08,84.38,e_055.JPG,0
69.2,13.18,84.4,e_056.JPG,0
72.1,12.98,84.43,e_057.JPG,0
74.98,12.78,84.44,e_058.JPG,1
78.02,12.38,84.62,e_059.JPG,0
79.26,13.28,88.29,e_060.JPG,0
77.89,12.68,91.15,e_061.JPG,0
75.82,12.68,89.87,e_062.JPG,0
73.2,12.68,89.05,e_063.JPG,0
70.86,12.58,88.56,e_064.JPG,0
68.66,12.68,88.22,e_065.JPG,0
65.9,12.68,88.36,e_066.JPG,0
63.56,12.48,87.88,e_067.JPG,0
60.66,12.08,87.86,e_068.JPG,0
58.6,12.58,89.91,e_069.JPG,0
56.54,12.58,90.86,e_070.JPG,0
53.16,16.78,55.79,f_001.JPG,0
50.82,16.68,55.3,f_002.JPG,1
48.06,16.58,55.45,f_003.JPG,1
45.99,16.58,55.27,f_004.JPG,1
43.93,16.58,55.1,f_005.JPG,1
41.86,16.48,54.93,f_006.JPG,1
39.11,16.58,55.07,f_007.JPG,1
37.04,16.58,54.89,f_008.JPG,1
34.83,16.68,54.56,f_009.JPG,1
31.94,16.68,54.55,f_010.JPG,1
28.91,16.88,54.37,f_011.JPG,1
28.91,14.98,54.37,f_012.JPG,1
31.94,14.98,54.55,f_013.JPG,1
34.83,14.98,54.56,f_014.JPG,0
37.04,14.98,54.89,f_015.JPG,1
39.24,14.98,55.23,f_016.JPG,1
41.86,14.98,54.93,f_017.JPG,1
43.93,14.98,55.1,f_018.JPG,0
45.99,14.98,55.27,f_019.JPG,1
48.2,14.98,55.61,f_020.JPG,1
50.82,14.98,55.3,f_021.JPG,1
53.16,14.98,55.79,f_022.JPG,1
53.16,13.08,55.79,f_023.JPG,1
50.82,13.18,55.3,f_024.JPG,1
48.2,13.28,55.61,f_025.JPG,1
45.99,13.28,55.27,f_026.JPG,1
43.93,13.38,55.1,f_027.JPG,0
41.86,13.38,54.93,f_028.JPG,1
39.24,13.38,55.23,f_029.JPG,1
37.04,13.28,54.89,f_030.JPG,1
34.83,13.28,54.56,f_031.JPG,1
31.94,13.18,54.55,f_032.JPG,1
28.91,12.98,54.37,f_033.JPG,1
28.22,11.08,54.68,f_034.JPG,1
31.8,11.28,54.39,f_035.JPG,1
34.14,11.48,54.87,f_036.JPG,1
37.04,11.58,54.89,f_037.JPG,1
39.11,11.68,55.07,f_038.JPG,1
41.31,11.78,55.4,f_039.JPG,1
43.93,11.78,55.1,f_040.JPG,0
45.99,11.68,55.27,f_041.JPG,1
48.2,11.58,55.61,f_042.JPG,1
50.27,11.48,55.77,f_043.JPG,1
53.16,11.18,55.79,f_044.JPG,1
53.16,9.28,55.79,f_045.JPG,1
50.27,9.58,55.77,f_046.JPG,1
48.2,9.88,55.61,f_047.JPG,1
45.44,9.98,55.74,f_048.JPG,1
43.38,10.08,55.57,f_049.JPG,1
41.17,10.08,55.24,f_050.JPG,1
39.11,10.08,55.07,f_051.JPG,1
36.9,9.88,54.73,f_052.JPG,1
34.14,9.68,54.87,f_053.JPG,1
31.12,9.38,54.7,f_054.JPG,1
27.95,8.88,54.36,f_055.JPG,1
26.98,6.58,54.36,f_056.JPG,1
30.29,7.28,54.86,f_057.JPG,1
33.18,7.78,54.87,f_058.JPG,1
36.22,8.08,55.05,f_059.JPG,1
38.97,8.18,54.91,f_060.JPG,1
41.03,8.38,55.08,f_061.JPG,1
43.25,8.38,55.41,f_062.JPG,1
45.44,8.28,55.74,f_063.JPG,1
48.06,8.18,55.45,f_064.JPG,1
50.27,7.78,55.77,f_065.JPG,1
53.16,7.28,55.79,f_066.JPG,1
48.08,9.68,64.36,f_067.JPG,0
48.07,8.38,61.01,f_068.JPG,0
47.52,6.18,55.92,f_069.JPG,1
45.3,6.38,55.59,f_070.JPG,0
43.11,6.48,55.25,f_071.JPG,1
40.35,6.48,55.39,f_072.JPG,1
38.14,6.28,55.06,f_073.JPG,1
35.25,6.08,55.05,f_074.JPG,1
32.91,5.58,54.55,f_075.JPG,1
29.18,4.88,54.69,f_076.JPG,1
25.88,3.98,54.18,f_077.JPG,0
26.85,3.18,57.53,f_078.JPG,0
29.33,3.28,55.97,f_079.JPG,0
31.94,3.18,54.55,f_080.JPG,0
34.97,3.88,54.73,f_081.JPG,1
37.32,4.28,55.21,f_082.JPG,1
40.07,4.48,55.07,f_083.JPG,1
42.43,9.48,64.49,f_084.JPG,0
43.53,9.48,64.65,f_085.JPG,0
47.38,4.18,55.76,f_086.JPG,1
46.29,8.78,64.51,f_087.JPG,0
48.08,8.38,64.36,f_088.JPG,0
47.39,8.28,65.79,f_089.JPG,0
46.43,7.68,64.67,f_090.JPG,0
45.18,7.18,63.23,f_091.JPG,0
43.39,8.18,64.49,f_092.JPG,0
42.16,8.88,65.28,f_093.JPG,0
40.5,6.98,62.25,f_094.JPG,0
37.04,1.98,54.89,f_095.JPG,0
34.57,2.58,56.47,f_096.JPG,0
32.5,3.18,58.53,f_097.JPG,0
30.3,2.88,59.31,f_098.JPG,0
28.37,3.18,61.53,f_099.JPG,0
53.71,23.28,56.43,g_001.JPG,0
51.09,23.18,55.62,g_002.JPG,0
48.89,22.68,55.29,g_003.JPG,1
46.13,22.48,55.43,g_004.JPG,1
43.93,22.38,55.1,g_005.JPG,1
41.86,22.28,54.93,g_006.JPG,1
39.11,22.38,55.07,g_007.JPG,1
36.9,22.58,54.73,g_008.JPG,1
34.01,22.88,54.71,g_009.JPG,1
30.98,23.38,54.54,g_010.JPG,1
27.81,23.98,54.2,g_011.JPG,1
28.91,21.58,54.37,g_012.JPG,0
31.94,21.18,54.55,g_013.JPG,1
34.83,20.78,54.56,g_014.JPG,1
37.04,20.58,54.89,g_015.JPG,1
39.8,20.48,54.75,g_016.JPG,1
42,20.48,55.09,g_017.JPG,1
44.07,20.58,55.26,g_018.JPG,0
46.13,20.58,55.43,g_019.JPG,0
48.89,20.78,55.29,g_020.JPG,1
51.64,21.18,55.15,g_021.JPG,0
53.71,21.08,56.43,g_022.JPG,0
53.71,19.18,56.43,g_023.JPG,0
51.64,19.18,55.15,g_024.JPG,1
48.89,18.98,55.29,g_025.JPG,1
46.82,18.78,55.11,g_026.JPG,1
44.21,18.78,55.42,g_027.JPG,0
42,18.78,55.09,g_028.JPG,1
39.94,18.78,54.91,g_029.JPG,1
37.86,18.88,54.74,g_030.JPG,1
34.97,18.98,54.73,g_031.JPG,1
32.22,19.18,54.87,g_032.JPG,1
29.18,19.38,54.69,g_033.JPG,1
29.87,17.38,54.37,g_034.JPG,1
32.91,17.28,54.55,g_035.JPG,1
35.11,17.18,54.89,g_036.JPG,1
37.86,17.08,54.74,g_037.JPG,1
40.07,17.08,55.07,g_038.JPG,0
42.13,17.08,55.25,g_039.JPG,1
44.21,16.98,55.42,g_040.JPG,0
46.82,17.08,55.11,g_041.JPG,1
49.02,17.18,55.45,g_042.JPG,0
51.64,17.28,55.15,g_043.JPG,1
53.71,17.28,56.43,g_044.JPG,0
53.71,15.48,56.43,g_045.JPG,1
51.64,15.38,55.15,g_046.JPG,1
49.02,15.38,55.45,g_047.JPG,0
46.82,15.38,55.11,g_048.JPG,1
44.21,15.38,55.42,g_049.JPG,0
42.13,15.38,55.25,g_050.JPG,1
40.07,15.38,55.07,g_051.JPG,0
37.86,15.38,54.74,g_052.JPG,1
35.25,15.38,55.05,g_053.JPG,1
32.91,15.38,54.55,g_054.JPG,1
29.87,15.38,54.37,g_055.JPG,1
29.87,13.48,54.37,g_056.JPG,1
32.91,13.58,54.55,g_057.JPG,1
35.11,13.68,54.89,g_058.JPG,0
37.86,13.78,54.74,g_059.JPG,1
40.07,13.78,55.07,g_060.JPG,1
42.13,13.78,55.25,g_061.JPG,1
44.21,13.78,55.42,g_062.JPG,0
46.27,13.78,55.59,g_063.JPG,1
49.02,13.68,55.45,g_064.JPG,0
51.09,13.58,55.62,g_065.JPG,1
53.58,13.58,56.27,g_066.JPG,0
28.08,24.28,55.63,h_002.JPG,0
24.91,23.78,55.29,h_003.JPG,0
21.89,23.48,55.12,h_004.JPG,1
18.85,23.28,54.94,h_005.JPG,1
15.96,23.18,54.92,h_006.JPG,1
13.07,23.18,54.91,h_007.JPG,1
10.04,23.28,54.72,h_008.JPG,1
